"MASTER RESULT SET","MSTR 01",,,,,,,,,,,,,,,,,,,,,,,
"Keyword # 1 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 2 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 3 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 4 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 5 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 6 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 7 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","Keyword # 8 - words that best describes the website. Use between 1 and 4 words. Using 4 is preferred.","PRIMARY TOPIC: What is the ""main topic"" this website would fit under (its subject)?","SUBTOPIC  What is this specific website really about (what is its real focus)?","NAME OF WEBSITE (exactly as it appears on their website). Note: Sometimes the actual website name has spaces between the title words, sometimes it does not. Use the appropriate one.","URLS (also known as a link or ""web address"" or ""links""). Sometimes you are asked to research the website as a whole. Sometimes you are given a ""sub-page, related to a specific topic"" and you must research just that portion of the website. For example notice row 4: it is a sub-page (almost like a separate website) of the main Disney website. But on the right and the left you will notice it deals specifically with ""pin collecting"". If the website takes you to the homepage, do the whole website. If it takes you to a sub-page, just do that portion of the website.","State (the location of the company providing the website) as noted on their website (sometimes it helps to look on the ""contact us"" or ""privacy statement"" page.","City (as noted on their website)","Is using the website FREE or does it COST? Sometimes websites charge for its goods or services. Also, if a website is completely free to browse or if a great deal of it is free to browse, put ""free"" here. However, if clicking on most anything brings up a cost (must pay for it to see it), then put a ""$"" here (we don't need the amount).","Is REGISTRATION REQUIRED? If you can't get to the information without having to register first, then put ""Yes"" here. If you have to register to even browse, put ""Yes"" here.  But if you can see everything, or at least browse, without registering, put no. Note: MOST (not all) shopping websites require registration to buy something, so put Yes here. Examples: Both eBay & Amazon are shopping sites. However, eBay can be browsed and even researched to find out the history of items, without HAVING to register, so put No here. Amazon can be browsed, but provides little information outside of finding things to buy, so put Yes here.","Everything on the Web fits into one (or sometimes 2) of these 4 categories. The definition of ""find it"" is a geographic location (like locating a national park). Make the website fit into one of the following ACTIVITY CATEGORIES =  SEE IT (read the news, view a photos, read and research, check movie times, etc.)  SHOP IT (shop for it, trade it in, auction it, purchase then download it, online shopping, etc.)  DO IT (play a game, chat, update your blog, book a flight, listen to music, customize your computer, and ""sometimes shopping activities"", etc.)  FIND IT (locate London, check out the address of a restaurant in the Chicago metro service area, etc. = this is rarely used in this column). Pick the activity that MOST fist the MAJORITY of the website","Write a BRIEF DESCRIPTION OF WEBSITE. Most often you can copy and paste a small portion of the ""about us"" section of their website to get a good description. It may even require copying and pasting a couple of sentences from different paragraphs within their website to make a ""well rounded description"". However, if you cannot copy and paste something directly from THEIR website, then you must write the description in your own words. YOU CAN NOT USE SOMETHING ANYONE ELSE WROTE - as that is ""copywrite infringement"". You CANNOT use something another website (example: Google, Wikipedia, etc.) uses as their description of this website, as this is also ""copywrite infringement"". The bottom line - if you cannot get a description directly from the website itself - write it yourself. Note: also notice from the examples below that the descriptions are not ""personal"" but rather speak to the general population (meaning they do not include a lot of ""us"" ""I"" ""you"" ""best"" , etc.). Keep anything personal or that relates to ""being the best"" to a minimum, even if you are cutting and pasting directly from their website.","Primary MSA (Metro Service Area) for ubExact Engine","SUPER CAT (this is the very top category this website will be categorized under = it is it's ultimate parent topic)","Is This OFFICIAL Website? (Use this statement: ""Official xxxxx Website"" only for websites that are often confused with other websites, or who have many copycat websites trying to pretend to be them. Example: Disney World).","Preferred Link:
Ad 2-3 Keywords","Preferred Link:
Ad 3-4 Keywords","Preferred Link:
Ad 4-5 Keywords","Separate URL will be for these:
NAV ADS"
"Missing Children","Amber Alert","Missing Children Search","Children","Search for Missing Children","Exploited Children","Charities","Society & Culture","Alerts","Child Welfare","National Center for Missing and Exploited Children","http://www.missingkids.com","Virginia","Alexandria","Free","No","See It","The National Center for Missing & Exploited Children’s (NCMEC) mission is to help prevent child abduction and sexual exploitation; help find missing children; and assist victims of child abduction and sexual exploitation, their families, and the professionals who serve them.","Arlington","Alerts & Missing Children",,,,,
"Crisis Network","Missing Children","Missing Children Network","Missing Children Database","Search for Missing Children","Find Missing Children","Charities","Society & Culture","Alerts","Child Welfare","Child Crisis Network","http://www.childcybersearch.com","Canada","Ontario","Free","No","Find It","The goal of Child Crisis Network is to help locate and prevent missing children by making timely information accessible to the public though the use of leading-edge network technologies.","Canada","Alerts & Missing Children",,"[Missing Children] Help Locate Missing Kids",,,
"Alerts","Prevention of Child Abuse","Child Safety","Children","Prevent Neglect","Child Abuse","Charities","Society & Culture","Prevent Child Abuse","Child Welfare","Prevent Child Abuse America","http://www.preventchildabuse.org","Illinois","Chicago","Free","No","See It","Prevent Child Abuse America has led the way in building awareness, providing education and inspiring hope to everyone involved in the effort to prevent the abuse and neglect of our nation's children.","Chicago","Alerts & Missing Children",,,"[Prevent Child Abuse] Help To Prevent Child Abuse and Neglect By Building Awareness. Check Out How You Can Help",,
"Missing Children","Child Welfare","Amber Alert System","Children","Amber Alert New","Amber Alert Ticker","Charities","Society & Culture","Alerts","Amber Alert","CodeAmber.org","http://codeamber.org","Louisiana","Mandeville","Free","No","See It","CodeAmber.org is made possible by people like you who care about the safety of our children. CodeAmber.org is funded from donations made by people like you. We receive no government funding.","New Orleans","Alerts & Missing Children",,,,,
"Child Welfare","Child Safety","Amber Alert System","Children","Amber Alert News","Department of Justice","Government","Find Missing Children","Alerts","Missing Children","Amber Alert","http://www.amberalert.gov/","District of Columbia","Washington DC","Free","No","See It","The AMBER Alert™ Program is a voluntary partnership between law-enforcement agencies, broadcasters, transportation agencies, and the wireless industry, to activate an urgent bulletin in the most serious child-abduction cases. The goal of an AMBER Alert is to instantly galvanize the entire community to assist in the search for and the safe recovery of the child.","Washington DC","Alerts & Missing Children","Official Amber Alert Government Website",,,,
"Child Abuse","Amber Alert","Foundation","Organizations","Reports a Missing Child","Child Safety","Charities","Society & Culture","Alerts","Child Welfare","Polly Klaas Foundation","http://www.pollyklaas.org","California","Petaluma","Free","No","See It","The Polly Klaas Foundation is a national nonprofit that helps find missing children, prevents children from going missing, and promotes laws like the Amber Alert that helps keep children safe.","Oakland","Alerts & Missing Children",,,,,
"Recall Reports","Consumer Product Safety","Safety Tips","Public Information","Product Safety","Protecting the Public","Product Recalls","Public Information on Safety","Government Agency","Consumer Protection","U.S. Consumer Product Safety Commission","http://www.cpsc.gov/","Online","Online","Free","No","See It","The U.S. Consumer Product Safety Commission is charged with protecting the public from unreasonable risks of serious injury or death from more than 15,000 types of consumer products under the agency's jurisdiction. The site provides including recalls, reports, alerts.","Online","Alerts & Missing Children",,,"[Consumer Product Safety] Public Updates on Consumer Product Safety",,
"Crisis Network","Child Abuse","Child Neglect","Children","Alerts","Treatment of Child Abuse","Charities","Society & Culture","Prevent Child Abuse","Child Welfare","ChildHelp","http://www.childhelpusa.org","Arizona","Scottsdale","Free","No","See It","Childhelp is a leading national non-profit organization dedicated to helping victims of child abuse and neglect.  Childhelp’s approach focuses on prevention, intervention and treatment. The Childhelp® National Child Abuse Hotline, 1-800-4-A-CHILD, operates 24 hours a day, seven days a week, and receives calls from throughout the United States, Canada, the U.S. Virgin Islands, Puerto Rico and Guam.","Scottsdale","Alerts & Missing Children",,,,,
"Zoo","Porcupine","Amur Tiger","Animal Rehabilitation","Horse Ranch","Attractions","Animal Species","x","Entertainment","Attraction","Alaska Zoo","http://www.alaskazoo.org/","Alaska","Anchorage","Free","No","Do It","Alaska Zoo focuses mainly on the animals that can be found in Alaska, but recently more exotic animals have been added. The zoo started when founder Jack Snyder won an Asian baby elephant and kept it at a horse ranch. The elephant became popular and became the catalyst to start the zoo.","Anchorage","Animals & Pets",,,,,
"Georgia Zoo","Panda Cam","Conservation","Zoo Animals","Zoos","Exotic Animals","Travel","Live Webcams","Attractions & Theme Parks","Entertainment","Zoo Atlanta","http://www.zooatlanta.org/","Georgia","Athens","Free","No","Do It","Zoo Atlanta is located in historic Grant Park, minutes from downtown Atlanta and Turner Field, Zoo Atlanta is one of Georgia's most loved institutions. Founded in 1889, it is one of the 10 oldest zoos in continuous operation in the United States. From unique public events to entertaining programs about animals and the environment, Zoo Atlanta is the WILDEST place in town for quality family fun.","Atlanta","Animals & Pets",,"[Georgia Zoo] Zoo Atlanta - The Best Animal Encounter",,,
"Elephants","Penguins","Conservations","Zoo Animals","Zoos","Exotic Animals","x","x","Entertainment","Attractions & Theme Parks","Maryland Zoo in Baltimore","http://www.marylandzoo.org/","Maryland","Baltimore","Free","No","Do It","Maryland Zoo in Baltimore, is the third oldest zoo in the country. Currently the Zoo’s animal collection encompasses more than 1,500 birds, mammals, amphibians and reptiles, representing nearly 200 species. Animals are displayed in natural settings replicating their native habitats.","Baltimore","Animals & Pets",,,,,
"Zoo Animals","White Tigers","Parrot Jungle","Kid's Zoo","Zoos","Exotic Animals","Kids","x","Attractions & Theme Parks","Entertainment","Baton Rouge Zoo","http://www.brzoo.org/","Louisiana","Baton Rouge","Free","No","Do It","BREC’s Baton Rouge Zoo - Over the past almost thirty-five years, the Zoo has grown to become the #1 year around family attraction in Baton Rouge. With nearly a quarter million guests each year, the Zoo attracts visitors of all ages and backgrounds. The Zoo is a favorite place for families and groups to discover the animal kingdom.","Baton Rouge","Animals & Pets",,,,,
"Texas Zoo","Sea Lions","Conservation","Komodo Dragon","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","Glady's Porter Zoo","http://www.gpz.org/","Texas","Brownsville","Free","No","Do It","The Gladys Porter Zoo is an oasis nestled in the center of Brownsville, Texas. With 26 acres of lush tropical plants and some 1,600 animals, the Gladys Porter Zoo is known for its successes in breeding endangered species of wildlife.","Brownsville","Animals & Pets",,,,,
"Illinois Zoo","Children's Zoo","Conversation","Zoo Animals","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","Lincoln Park Zoo","http://www.lpzoo.org/","Illinois","Chicago","Free","No","Do It","Lincoln Park Zoo is a world of wildlife in the shadow of skyscrapers. The zoo has been a natural, free oasis for generations of animal lovers, who come to hear a lion’s roar echo off nearby apartment buildings, see gorillas climb trees as the Sears Tower looms in the distance, or forget where they are as they immerse themselves in tropical rainforests, dry-thorn forests or spacious savannas. Lincoln Park Zoo is open 365 days a year, and is FREE everyday.","Chicago","Animals & Pets",,"[Exotic Animals] Enjoy Your Holiday At The Zoo!",,,
"Pet Memorials","Pet Preservation","Pet Burial Service","Wildlife Studio","Wildlife","x","x","x","Taxidermist ","Pet Memorial Service","AEWS-Anthony Eddy's Wildlife Studio","http://www.pet-animalpreservation.com/index.html","Missouri","Slater","Free  ","No","See It","AEWS-Anthony Eddy's Wildlife Studio Offers an alternative service to pet cremation or burial after the loss of a pet, AEWS is the largest Freeze-dry service in North America. The company uses a method to preserve pets in a restful and peaceful manner.","Columbia","Animals & Pets",,,,,
"South Carolina Zoo","Zoo Events","Botanical Gardens","Zoo Animals","Zoos","Exotic Animals","Travel","x","Attractions & Theme Parks","Entertainment","River Banks Zoo and Garden","http://www.riverbanks.org/","South Carolina","Columbia","Free","No","Do It","River Banks Zoo and Garden- From elephants and koalas to penguins and sharks, formal gardens to natural woodlands, Riverbanks Zoo and Garden promises new discoveries around every corner.  Riverbanks Zoo and Garden not only serves to protect rare and endangered wildlife and wild places, but also safeguards a number of South Carolina's significant historical landmarks.","Columbia","Animals & Pets",,,,,
"Manatee","Big Cats","Conservation","Aquarium","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","Columbus Zoo and Aquarium","http://www.colszoo.org/","Ohio","Powell ","Free","No","Do It","Bring your family to the Columbus Zoo and Aquarium for an untamed adventure. Stretching for 90 acres the Zoo is home to more than 700 wildlife species including big cats, elephants, gorillas, manatees, bonobos and more.","Columbus","Animals & Pets",,,,,
"Iowa Zoo","Zoo Tours","Conservation","Children's Zoo","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","Blank Park Zoo","http://www.blankparkzoo.com/","Iowa","Des Moines","Free","No","Do It","Blank Park Zoo's mission is to inspire an appreciation of the natural world through conservation, education and recreation. The Blank Park Zoo is the only accredited zoo in the state of Iowa. Bring your family to see more than 1,000 furry, finned, and feathered friends.","Des Moines","Animals & Pets",,,,,
"North Dakota Zoo","Panda","Camel","Zoo Animals","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","Red River Zoo","http://www.redriverzoo.org/","North Dakota","Fargo","Free","No","Do It","The Red River Zoo is located in southwest Fargo, North Dakota on thirty-three acres of land. Several endangered species live and breed in natural habitat exhibits throughout the zoo. The zoo features exotic and native animals and plants from areas around the world with similar climates to the Red River Valley. Over three hundred animals of seventy-five species reside at the Red River Zoo. ","Fargo","Animals & Pets",,,,,
"Zoo Trail Ride","Conservation Area","Children's Zoo","Historical Site","Kid's Zoo","Exotic Animals","Zoos","x","Attractions & Theme Parks","Entertainment","Fort Wayne's Children Zoo","http://www.kidszoo.org/","Indiana","Fort Wayne","Free","No","Do It","Fort Wayne's Children's Zoo exists to help people gain a greater appreciation of wildlife, encourage family fun in a natural setting, and help save the world’s wild animals and wild places. Visitors can take zoo rides, join a school or group educational program, or participate in the zoo's Adopt-An-Animal program which helps to provide the daily care and feeding that animals need to stay healthy.","Fort Wayne","Animals & Pets",,,,,
"Zoo Birthday","Carousel","Conservation","Zoo Animals","Zoos","Exotic Animals","x","x","Attractions & Theme Parks","Entertainment","North Carolina Zoo","http://www.nczoo.org/","North Carolina","Asheboro","Free","No","Do It","North Carolina Zoo is recognized as one of the nation's finest. It's most popular animals are the lions, elephants, gorillas, river otters among others. It is the largest walk-through natural-habitat zoo in the United States. Visitors can go picnicking on the zoo grounds, participate in educational program, or go to the scheduled events.","Greensboro","Animals & Pets",,,,,
